App		8-OoO	1-IO	Tag-Team	Raven-G		 
basicmath	0.6842	0.5421	0.8605	1.0582				
coremark	0.5918	0.7021	0.8605	1.0855	
blackscholes	0.7793	0.6047	0.8742	1.0555		 
canneal	0.7031	0.8159	0.9266	1.0501
mcf	0.625	1.2917	1.0231	1.2917	
milc	0.6378	1.1596	1.1954	1.4391	
xalan	0.8745	0.9762	1.0874	1.0332	
zeus	0.6339	0.738	0.862	0.9282		
geomean	0.6859	0.8191	0.9542	1.1078
