% 1. Title: gcc output parameters
%
% 2. Sources: gem5 runs
@RELATION trainingSet

@ATTRIBUTE issueWidth	{1, 2, 4, 8}
@ATTRIBUTE l2Size	{64, 256, 1024}
@ATTRIBUTE l1Size	{16, 32, 64}
@ATTRIBUTE l1Assoc	{2, 4}
@ATTRIBUTE reorderBuffer	{0, 64, 128, 200}
@ATTRIBUTE intAlus	{1, 3, 6}
@ATTRIBUTE intMuls	{1, 2}
@ATTRIBUTE fp	{0, 1, 2}
@ATTRIBUTE executionModel	{0, 1}
@ATTRIBUTE performance	NUMERIC
@ATTRIBUTE intAccessR	NUMERIC
@ATTRIBUTE FPAccessR	NUMERIC
@ATTRIBUTE BranchAccessR	NUMERIC
@ATTRIBUTE DataAccessR	NUMERIC
@ATTRIBUTE DataFPKB	NUMERIC
@ATTRIBUTE InstFPKB	NUMERIC
@ATTRIBUTE OperandAvg	NUMERIC
@ATTRIBUTE RegPC	NUMERIC
@ATTRIBUTE DataReuseAvg	NUMERIC
@ATTRIBUTE 32InstReuse	NUMERIC
@ATTRIBUTE LargeReuse   NUMERIC

@DATA
4,256,32,2,128,3,2,1,0,1.0,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,128,3,1,2,0,0.984,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
1,256,64,4,0,3,1,1,1,0.1116,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
1,256,32,2,0,3,1,0,1,0.0613,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
2,256,16,2,0,3,1,1,1,0.2227,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,0,3,1,2,1,0.4221,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,0,3,1,1,1,0.4212,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
1,1024,32,2,0,3,1,1,1,0.1109,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
2,256,64,4,0,3,1,1,1,0.2278,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,64,4,0,3,1,1,1,0.4284,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,64,32,2,128,3,1,1,0,0.9923,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
1,256,32,2,0,3,1,1,1,0.1109,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,128,6,1,1,0,1.003,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,1024,32,2,0,3,1,1,1,0.4212,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,128,3,1,0,0,0.2853,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,200,3,1,1,1,0.4212,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,64,3,1,1,1,0.4212,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
4,256,32,2,0,6,1,1,1,0.4212,0.5951,0.2185,0.1263,0.3544,0.077,0.0263,1.6358,4.3757,0.0543,0.896,0.0
1,256,32,2,0,1,1,1,1,0.1,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
1,256,64,4,0,1,1,1,1,0.098,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
1,64,32,2,0,1,1,1,1,0.0976,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
