4,256,32,2,0,3,1,0,1,0.1178,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,64,32,2,128,3,1,1,0,1.0487,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,256,32,2,128,3,2,1,0,1.0968,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,256,64,4,128,3,1,1,0,1.0805,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,256,32,2,128,3,1,2,0,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,256,64,4,128,3,1,1,0,1.1403,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
2,256,32,2,0,3,2,1,1,0.2583,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,256,32,2,128,3,1,1,0,1.0968,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,256,32,2,200,3,1,1,0,1.0009,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,256,16,2,0,3,1,1,1,0.4347,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,256,32,2,0,3,2,1,1,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
2,1024,32,2,0,3,1,1,1,0.2587,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,256,32,2,128,3,1,1,0,1.0,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,1024,32,2,128,3,1,1,0,1.1003,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
1,256,16,2,0,3,1,1,1,0.1281,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
4,1024,32,2,128,3,1,1,0,1.004,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
8,256,16,2,128,3,1,1,0,1.0551,0.5204,0.3984,0.0565,0.2726,835.625,7.6875,1.5378,57.8409,221.5529,0.837,0.0003
